,title,description,description_img,information
48,空軍軍史館,,[],"{'phone': '+886-7-6258111', 'address': '高雄市岡山區介壽西路西首一號', 'googleMap': 'https://www.google.com/maps/place/22.78468,120.27258?hl=zh-tw', 'openingHours': '08:00–17:00(逢週一暨除夕公休，其餘時間皆可購票參觀，憑票根7日內免費參觀航教館)', 'ticketInformation': None}"
49,高雄市皮影戲館,,[],"{'phone': '+886-7-6262620', 'address': '高雄市岡山區岡山南路42號', 'googleMap': 'https://www.google.com/maps/place/22.7827,120.29844?hl=zh-tw', 'openingHours': '星期二至星期日09:00至17:00(星期一及除夕休館)', 'ticketInformation': None}"
50,岡山公園,,"[{'img_alt': '岡山中山公園02', 'img_src': 'https://khh.travel/Image/950/?r=1590476941097'}, {'img_alt': '岡山中山公園03', 'img_src': 'https://khh.travel/Image/951/?r=1590476951916'}]","{'phone': '+886-7-3421418', 'address': '高雄市岡山區公園路1號', 'googleMap': 'https://www.google.com/maps/place/22.79674,120.29175?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
51,壽天宮,,"[{'img_alt': '壽天宮04', 'img_src': 'https://khh.travel/Image/960/?r=1590476862651'}, {'img_alt': '壽天宮06', 'img_src': 'https://khh.travel/Image/962/?r=1590476870578'}]","{'phone': '+886-7-6212424', 'address': '高雄市岡山區壽天里公園路40號', 'googleMap': 'https://www.google.com/maps/place/22.79814,120.29112?hl=zh-tw', 'openingHours': '05:30–21:00', 'ticketInformation': None}"
52,台灣滷味博物館,,"[{'img_alt': 'image003', 'img_src': 'https://khh.travel/Image/2016/?r=1590512287686'}, {'img_alt': '中華滷味博物館4', 'img_src': 'https://khh.travel/Image/370/?r=1590512302059'}]","{'phone': '+886-7-6229100', 'address': '高雄市岡山區本工一路25號', 'googleMap': 'https://www.google.com/maps/place/22.81757,120.26736?hl=zh-tw', 'openingHours': '星期日：08:00 – 17:00星期一：08:00 – 17:00星期二：08:00 – 17:00星期三：08:00 – 17:00星期四：08:00 – 17:00星期五：08:00 – 17:00星期六：08:00 – 17:00', 'ticketInformation': None}"
53,高雄市漁業文化館,,[],"{'phone': '+886-7-7995678', 'address': '高雄市前鎮區漁港中一路2號地下一樓', 'googleMap': 'https://www.google.com/maps/place/22.57225,120.31673?hl=zh-tw', 'openingHours': '目前休館中，暫不開放參觀，開館日期待館方公布平日：08:00–12:00；13:30–17:30假日：08:00–17:00(國定假日休館)', 'ticketInformation': None}"
54,高雄市立圖書館總館,高雄市立圖書館新總館，是一棟結合植物、環保與文化的建築物。書為主角，建構出館中有樹、樹中有館開放寬敞的友善空間。,"[{'img_alt': '高雄市立圖書總館空拍照', 'img_src': 'https://khh.travel/Image/18349/?r=1586427100068'}, {'img_alt': '高雄市立圖書館總館 (3)', 'img_src': 'https://khh.travel/Image/37636/?r=1642749214815'}, {'img_alt': '高雄市立圖書總館-親子區', 'img_src': 'https://khh.travel/Image/18350/?r=1586427106203'}]","{'phone': '+886-7-5360238', 'address': '高雄市前鎮區新光路61號', 'googleMap': 'https://www.google.com/maps/place/22.61024,120.30174?hl=zh-tw', 'openingHours': '星期日：10:00 – 22:00星期一：休息星期二：10:00 – 22:00星期三：10:00 – 22:00星期四：10:00 – 22:00星期五：10:00 – 22:00星期六：10:00 – 22:00', 'ticketInformation': None}"
55,高雄展覽館,高雄展覽館座落於「亞洲新灣區」樞紐，是臺灣第一座多功能臨港會展中心；波浪造型鋼骨結構，展現海洋城市意象與磅礡氣勢！,"[{'img_alt': '高雄展覽館與高雄港', 'img_src': 'https://khh.travel/Image/37446/?r=1642672732146'}, {'img_alt': '裝置藝術', 'img_src': 'https://khh.travel/Image/20160/?r=1590474346755'}, {'img_alt': '高雄展覽館波浪造型建築', 'img_src': 'https://khh.travel/Image/37445/?r=1642672699534'}, {'img_alt': '遊艇碼頭', 'img_src': 'https://khh.travel/Image/37443/?r=1642672753482'}, {'img_alt': '高雄展覽館倒影', 'img_src': 'https://khh.travel/Image/20435/?r=1590474383958'}]","{'phone': '+886-7-2131188', 'address': '高雄市前鎮區成功二路39號', 'googleMap': 'https://www.google.com/maps/place/22.60788,120.29833?hl=zh-tw', 'openingHours': '星期日：10:00 – 18:00星期一：10:00 – 18:00星期二：10:00 – 18:00星期三：10:00 – 18:00星期四：10:00 – 18:00星期五：10:00 – 18:00星期六：10:00 – 18:00', 'ticketInformation': None}"
56,前鎮漁港,,"[{'img_alt': '前鎮漁港03', 'img_src': 'https://khh.travel/Image/980/?r=1590475690369'}, {'img_alt': '前鎮漁港02', 'img_src': 'https://khh.travel/Image/979/?r=1590475702480'}]","{'phone': '+886-7-7995678', 'address': '高雄市前鎮區漁港南一路', 'googleMap': 'https://www.google.com/maps/place/22.57057,120.31533?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
57,前鎮之星,搭配隨曲線翻折的遮陽頂棚，創造出多層次美感，車道的交叉點設計成如樹幹般的造型並有一座空中花園，為前鎮塑造繽紛多彩的新地標,"[{'img_alt': '前鎮之星03', 'img_src': 'https://khh.travel/Image/27/?r=1590479622242'}, {'img_alt': '前鎮之星02', 'img_src': 'https://khh.travel/Image/26/?r=1590479611879'}]","{'phone': '+886-7-7995678', 'address': '高雄市前鎮區中山三路與凱旋四路交叉口', 'googleMap': 'https://www.google.com/maps/place/22.59523,120.31527?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
58,珍芳烏魚子見學工廠,包含了製程區、知識文化區、商品區、簡報室、互動區、DIY教室以及日光玻璃屋晒場。以寓教於樂的方式，介紹烏魚子的專業知識，還可進行DIY活動，來場烏魚子創意料理秀,"[{'img_alt': '珍芳烏魚子1', 'img_src': 'https://khh.travel/Image/2020/?r=1590510570824'}, {'img_alt': '珍芳烏魚子2', 'img_src': 'https://khh.travel/Image/2021/?r=1590510583222'}]","{'phone': '07-8227488', 'address': '高雄市前鎮區新衙路296巷81弄13號', 'googleMap': 'https://www.google.com/maps/place/22.58249,120.31276?hl=zh-tw', 'openingHours': '星期日：09:00 – 12:00、13:30 – 16:30星期一：休息星期二：09:00 – 12:00、13:30 – 17:00星期三：09:00 – 12:00、13:30 – 17:00星期四：09:00 – 12:00、13:30 – 17:00星期五：09:00 – 12:00、13:30 – 17:00星期六：09:00 – 12:00、13:30 – 16:30', 'ticketInformation': None}"
59,創藝所在-R7獅甲站,,"[{'img_alt': 'r7獅甲站-快樂遊獅甲2_高雄捷運提供', 'img_src': 'https://khh.travel/Image/155/?r=1587008022610'}]","{'phone': '+886-7-7938888', 'address': '高雄市前鎮區中山三路132號 (獅甲站3號出入右轉步行約3分鐘，於勞工公園內)', 'googleMap': 'https://www.google.com/maps/place/22.60605,120.30808?hl=zh-tw', 'openingHours': '06:00–00:00', 'ticketInformation': None}"
60,美濃窯,,"[{'img_alt': '美濃窯-5', 'img_src': 'https://khh.travel/Image/1456/?r=1590481197506'}]","{'phone': '+886-7-6817873', 'address': '高雄市美濃區福美路496巷6號', 'googleMap': 'https://www.google.com/maps/place/22.90521,120.52283?hl=zh-tw', 'openingHours': '平日：08:00-17:00假日：09:00-17:00', 'ticketInformation': None}"
61,曾文忠美術館,,[],"{'phone': '+886-9-16291362', 'address': '高雄市美濃區永安路118號', 'googleMap': 'https://www.google.com/maps/place/22.89877,120.5448?hl=zh-tw', 'openingHours': '前往參觀前請先致電聯絡', 'ticketInformation': None}"
62,永安老街,,[],"{'phone': '+886-7-7995678', 'address': '高雄市美濃區永安街', 'googleMap': 'https://www.google.com/maps/place/22.89744,120.5475?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
63,美濃敬字亭,,[],"{'phone': '+886-7-7995678', 'address': '高雄市美濃區中山路、永安路交叉路口', 'googleMap': 'https://www.google.com/maps/place/22.90223,120.53392?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
64,鍾理和紀念館,傾聽著文學與心靈所譜成的詠嘆，懷想文學家一生淳厚堅毅、執著於文學並為農民發聲的心志，相信能與台灣文學前輩心靈交流並深受感動,"[{'img_alt': '鍾理和紀念館-5', 'img_src': 'https://khh.travel/Image/1000/?r=1590481392333'}, {'img_alt': '鍾理和紀念館-7', 'img_src': 'https://khh.travel/Image/1001/?r=1590481384415'}]","{'phone': '+886-7-6822228', 'address': '高雄市美濃區廣林里朝元95號', 'googleMap': 'https://www.google.com/maps/place/22.93324,120.58614?hl=zh-tw', 'openingHours': '09:00–17:00(週一公休)', 'ticketInformation': None}"
65,美濃原鄉緣紙傘文化村,為了原鄉的傳承與文化，以油紙傘為幅奏，融合陶藝、文物、民俗、美食五大主軸，將美濃風情發揚光大,"[{'img_alt': '原鄉緣紙傘文化村-7', 'img_src': 'https://khh.travel/Image/1424/?r=1590510189345'}, {'img_alt': '原鄉緣紙傘文化村-9', 'img_src': 'https://khh.travel/Image/1426/?r=1590510198215'}]","{'phone': '+886-7-6810888', 'address': '高雄市美濃區中興路一段147號', 'googleMap': 'https://www.google.com/maps/place/22.88273,120.54693?hl=zh-tw', 'openingHours': '平日：09:00–17:30假日：08:30–18:00', 'ticketInformation': None}"
66,自來水公園,,[],"{'phone': '+886-7-3422444', 'address': '高雄市苓雅區五福一路與光華一路交叉路口', 'googleMap': 'https://www.google.com/maps/place/22.62729,120.3149?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
67,光榮碼頭,光榮碼頭位於愛河出海口及高雄港的交界，曾是載運金馬人員及軍事物資重地的13號碼頭，在功成身退後更名為光榮碼頭並開放成觀光遊憩區。,[],"{'phone': '+886-7-7995678', 'address': '高雄市苓雅區海邊路與新田路口', 'googleMap': 'https://www.google.com/maps/place/22.61843,120.29226?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
68,陳中和紀念館,,[],"{'phone': '+886-7-3315640', 'address': '高雄市苓雅區苓東路14號', 'googleMap': 'https://www.google.com/maps/place/22.61344,120.29558?hl=zh-tw', 'openingHours': '每月第二個週六10:00–16:30', 'ticketInformation': None}"
69,高雄清真寺,,[],"{'phone': '+886-7-7496812', 'address': '高雄市苓雅區建軍路11號', 'googleMap': 'https://www.google.com/maps/place/22.628,120.34195?hl=zh-tw', 'openingHours': '08:30–20:30', 'ticketInformation': None}"
70,高雄關帝廟(武廟),,"[{'img_alt': '高雄關帝廟(武廟)04', 'img_src': 'https://khh.travel/Image/377/?r=1590476228602'}, {'img_alt': '高雄關帝廟(武廟)02', 'img_src': 'https://khh.travel/Image/375/?r=1590476241134'}]","{'phone': '+886-7-7218782', 'address': '高雄市苓雅區武廟路52號', 'googleMap': 'https://www.google.com/maps/place/22.63027,120.33155?hl=zh-tw', 'openingHours': '06:00–22:30', 'ticketInformation': None}"
71,多納高吊橋,多納吊橋從日治時代就是茂林鄉的人必經的路徑，長長又鮮艷的紅色吊橋，全長232公尺、高103公尺，號稱東南亞高程第一,[],"{'phone': '+886-7-6801045', 'address': '高雄市茂林區茂林林道632號', 'googleMap': 'https://www.google.com/maps/place/22.91453,120.68841?hl=zh-tw', 'openingHours': '星期日：24 小時營業星期一：24 小時營業星期二：24 小時營業星期三：24 小時營業星期四：24 小時營業星期五：24 小時營業星期六：24 小時營業', 'ticketInformation': None}"
72,得樂日嘎橋,,[],"{'phone': '+886-7-6801045', 'address': '高雄市茂林區得樂日嘎大橋', 'googleMap': 'https://www.google.com/maps/place/22.88345,120.65452?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
73,多納部落,,[],"{'phone': '+886-7-6801045', 'address': '高雄市茂林區大津里2號', 'googleMap': 'https://www.google.com/maps/place/22.91104,120.71591?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
74,白雲寺,,[],"{'phone': '+886-7-6908985', 'address': '高雄市茄萣區文化路47號', 'googleMap': 'https://www.google.com/maps/place/22.90966,120.18306?hl=zh-tw', 'openingHours': '08:00–11:30；14:00–17:30', 'ticketInformation': None}"
75,梅山遊客中心,群山環繞的遊客中心，外觀以布農族的石板構築，一旁的原生種植物園在冬季時分還能賞梅。,"[{'img_alt': '梅山遊客中心空拍照', 'img_src': 'https://khh.travel/Image/42839/?r=1673340917544'}, {'img_alt': '梅山里彩繪圖牆', 'img_src': 'https://khh.travel/Image/42836/?r=1674098215282'}, {'img_alt': '梅山遊客中心－森林步道', 'img_src': 'https://khh.travel/Image/42835/?r=1674098237002'}]","{'phone': '+886-7-6866181', 'address': '高雄市桃源區梅山里梅山巷44-5號', 'googleMap': 'https://www.google.com/maps/place/23.26336,120.826?hl=zh-tw', 'openingHours': '09:00–16:30農曆除夕及每月第二個星期二休館，遇例假日則順延一天', 'ticketInformation': None}"
76,同安張家古厝,,[],"{'phone': '+886-7-6174111', 'address': '高雄市梓官區同安路248號', 'googleMap': 'https://www.google.com/maps/place/22.7523,120.26723?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
77,紅樹林茄苳溪保護區,,[],"{'phone': '+886-7-5910631', 'address': '高雄市梓官區中正二街60號', 'googleMap': 'https://www.google.com/maps/place/22.73013,120.27041?hl=zh-tw', 'openingHours': '平日提供團體及個人導覽預約參訪(週一公休)週六：09:00–12:00；13:00–17:00', 'ticketInformation': None}"
78,摩登高雄-R9中央公園站,,[],"{'phone': '+886-7-7938888', 'address': '高雄市前金區中山一路11號(1號出口 )', 'googleMap': 'https://www.google.com/maps/place/22.62486,120.3011?hl=zh-tw', 'openingHours': '05:50–00:30', 'ticketInformation': None}"
79,空中的雨林-R17世運站,,[],"{'phone': '+886-7-7938888', 'address': '高雄市楠梓區左楠路1號', 'googleMap': 'https://www.google.com/maps/place/22.70145,120.30236?hl=zh-tw', 'openingHours': '06:00–23:00', 'ticketInformation': None}"
80,右昌森林公園,坐落於楠梓區加昌里，連結了後勁溪河堤公園暨自行車道、援中港溼地公園、高雄大學濕地公園及半屏山,[],"{'phone': '+886-7-3368333', 'address': '高雄市楠梓區德民路、後昌路及加宏路間', 'googleMap': 'https://www.google.com/maps/place/22.72056,120.29345?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
81,高雄市立美術館,,"[{'img_alt': '高美館空拍', 'img_src': 'https://khh.travel/Image/50833/?r=1708409925845'}, {'img_alt': '館前廣場', 'img_src': 'https://khh.travel/Image/50834/?r=1708410001190'}, {'img_alt': '104展間', 'img_src': 'https://khh.travel/Image/50835/?r=1708410073352'}, {'img_alt': '304展覽室', 'img_src': 'https://khh.travel/Image/50836/?r=1708410075571'}, {'img_alt': '兒美館照片', 'img_src': 'https://khh.travel/Image/50837/?r=1708410113932'}]","{'phone': '+886-7-5550331', 'address': '高雄市鼓山區美術館路80號', 'googleMap': 'https://www.google.com/maps/place/22.65669,120.28655?hl=zh-tw', 'openingHours': '週二~週五：09:30-17:30週六~週日：09:30-17:30週一公休', 'ticketInformation': None}"
82,高雄港,位於高雄市南端，是台灣第一大港口、世界第十三大港口,"[{'img_alt': '高雄港3', 'img_src': 'https://khh.travel/Image/406/?r=1590475089958'}, {'img_alt': '高雄港6', 'img_src': 'https://khh.travel/Image/411/?r=1590475098103'}]","{'phone': '+886-7-5612311', 'address': '高雄市鼓山區臨海二路62號', 'googleMap': 'https://www.google.com/maps/place/22.59944,120.28809?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
83,西子灣蔣介石行館,,[],"{'phone': '+886-7-5252000#2715', 'address': '高雄市鼓山區蓮海路70號(國立中山大學內)', 'googleMap': 'https://www.google.com/maps/place/22.6272,120.26468?hl=zh-tw', 'openingHours': '10:00–17:00(週一公休)', 'ticketInformation': None}"
84,忠烈祠,,[],"{'phone': '+886-7-5210368', 'address': '高雄市鼓山區忠義路32號', 'googleMap': 'https://www.google.com/maps/place/22.62646,120.27382?hl=zh-tw', 'openingHours': '08:00–17:00', 'ticketInformation': None}"
85,內惟埤文化園區,,[],"{'phone': '+886-7-5550331', 'address': '高雄市鼓山區美術館路80號', 'googleMap': 'https://www.google.com/maps/place/22.65669,120.28655?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
86,壽山國家自然公園,,"[{'img_alt': '壽山國家自然公園08', 'img_src': 'https://khh.travel/Image/439/?r=1674115586839'}, {'img_alt': '柴山登山步道樹林步道', 'img_src': 'https://khh.travel/Image/43063/?r=1674110076587'}, {'img_alt': '鼓山驛站外觀', 'img_src': 'https://khh.travel/Image/40130/?r=1660784240582'}, {'img_alt': '壽山通訊點告示牌-01', 'img_src': 'https://khh.travel/Image/39867/?r=1655946133567'}, {'img_alt': '高雄市主要登山步道手機通訊點位-01', 'img_src': 'https://khh.travel/Image/40597/?r=1661329434500'}, {'img_alt': '高雄市主要登山步道手機通訊點位-02', 'img_src': 'https://khh.travel/Image/40598/?r=1661329435884'}]","{'phone': '07-5313001', 'address': '高雄市鼓山區萬壽路301號', 'googleMap': 'https://www.google.com/maps/place/22.63532,120.27816?hl=zh-tw', 'openingHours': '08:30–17:00(週一公休)', 'ticketInformation': None}"
87,十八王公廟,,[],"{'phone': '+886-7-5250550', 'address': '高雄市鼓山區蓮海路18號(前清打狗英國領事館旁)', 'googleMap': 'https://www.google.com/maps/place/22.61923,120.26707?hl=zh-tw', 'openingHours': '每日05:00-22:00', 'ticketInformation': None}"
88,高雄哈瑪星代天宮,,[],"{'phone': '+886-7-5518801', 'address': '高雄市鼓山區鼓波街27號', 'googleMap': 'https://www.google.com/maps/place/22.6226,120.27107?hl=zh-tw', 'openingHours': '05:00–22:00', 'ticketInformation': None}"
89,旗山碾米廠,旗山老街旁的日式老舊碾米廠，1942年由日本人建造的木造二樓建物，分成進米區、穀倉、碾米及出貨區，負責稻穀收割後的處理。,"[{'img_alt': '旗山碾米廠-石牌', 'img_src': 'https://khh.travel/Image/18432/?r=1586425696478'}, {'img_alt': '旗山碾米廠-谷倉', 'img_src': 'https://khh.travel/Image/18426/?r=1586425650887'}, {'img_alt': '旗山碾米廠-篩米機', 'img_src': 'https://khh.travel/Image/18427/?r=1586425677216'}, {'img_alt': '旗山碾米廠-米袋', 'img_src': 'https://khh.travel/Image/18425/?r=1586425686926'}]","{'phone': '+886-7-6612515', 'address': '高雄市旗山區延平一路688巷20號', 'googleMap': 'https://www.google.com/maps/place/22.88357,120.48137?hl=zh-tw', 'openingHours': '採預約制，欲前往請提前致電申請。', 'ticketInformation': None}"
90,旗山武德殿,1934年興建的旗山武德殿，採傳統日本式寺殿式樣建築建造，不過由於日式廟堂多仿唐朝建築，故武德殿也具有相當濃厚的唐朝風格,"[{'img_alt': '旗山武德殿全景照', 'img_src': 'https://khh.travel/Image/18440/?r=1586425475512'}, {'img_alt': '旗山武德殿-歷史石牌', 'img_src': 'https://khh.travel/Image/18443/?r=1586425488385'}, {'img_alt': '旗山武德殿-內部照', 'img_src': 'https://khh.travel/Image/18445/?r=1586425501124'}]","{'phone': '+886-7-6616100', 'address': '高雄市旗山區華中街和中正路口(旗山國小對面)', 'googleMap': 'https://www.google.com/maps/place/22.88798,120.48018?hl=zh-tw', 'openingHours': '星期日：09:00 – 18:00星期一：休息星期二：09:00 – 18:00星期三：09:00 – 18:00星期四：09:00 – 18:00星期五：09:00 – 18:00星期六：09:00 – 18:00', 'ticketInformation': None}"
91,鼓山公園,,[],"{'phone': '+886-7-6616100', 'address': '高雄市旗山區中正路上', 'googleMap': 'https://www.google.com/maps/place/22.89,120.47706?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
92,市定古蹟-旗山國小,,[],"{'phone': '+886-7-6624428', 'address': '高雄市旗山區鼓山里華中街44號', 'googleMap': 'https://www.google.com/maps/place/22.88826,120.48062?hl=zh-tw', 'openingHours': '平日：17:00–18:00假日：06:30–18:00', 'ticketInformation': None}"
93,旗山孔廟,全台面積最大的孔廟，視野高遠，公園的美麗山水與風光明媚秀麗的旗山平原盡收眼底，平日也是民眾踏青及欣賞夜景的絕佳景點,"[{'img_alt': '旗山孔子廟-18', 'img_src': 'https://khh.travel/Image/1082/?r=1590476667940'}]","{'phone': '+886-7-6616859', 'address': '高雄市旗山區中正路(鼓山公園內)', 'googleMap': 'https://www.google.com/maps/place/22.88878,120.47624?hl=zh-tw', 'openingHours': '09:00–17:00(週一公休)', 'ticketInformation': None}"
94,地景橋,,[],"{'phone': '+886-7-6616100', 'address': '高雄市旗山區中華路上(旗山麥當勞對面)', 'googleMap': 'https://www.google.com/maps/place/22.88431,120.48565?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
95,聖若瑟天主堂,,[],"{'phone': '+886-7-6612344', 'address': '高雄市旗山區德義街6號', 'googleMap': 'https://www.google.com/maps/place/22.88487,120.47901?hl=zh-tw', 'openingHours': '外部：全天候開放', 'ticketInformation': None}"
96,旗山橋,,[],"{'phone': '+886-7-6616100', 'address': '高雄市旗山區中華路上', 'googleMap': 'https://www.google.com/maps/place/22.88174,120.48759?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
97,東九道之驛－旗糖農創園區,旗糖農創園區結合百年糖廠歷史與農創文旅，漫步紅磚倉庫、品嚐旗山美食、體驗製糖文化，感受歷史與現代的完美交融。,"[{'img_alt': '昔日南臺灣重要的製糖重鎮-旗山糖廠，經修復後以嶄新面貌迎接遊客，象徵百年糖業的歷史脈絡與產業轉型的時代印記。', 'img_src': 'https://khh.travel/Image/55761/?r=1740475529847'}, {'img_alt': '園區保留舊有的歷史建築與環境特色，展現旗山糖廠昔日的經典風貌。', 'img_src': 'https://khh.travel/Image/55765/?r=1740475542434'}, {'img_alt': '百年製糖工廠建築依舊矗立，雖已停止運作，卻以另一種方式訴說著旗山糖業的興衰故事。', 'img_src': 'https://khh.travel/Image/55758/?r=1740475552474'}, {'img_alt': '工廠內部修復後開放參觀，保留完整的製糖設備，讓遊客走進其中便能了解蔗糖的傳統製程。', 'img_src': 'https://khh.travel/Image/55759/?r=1740475562946'}, {'img_alt': '滿載歲月痕跡的製糖機具與生產管線，見證旗山糖廠曾經的繁忙景象，讓人不禁緬懷那段屬於糖業的黃金年代。', 'img_src': 'https://khh.travel/Image/55766/?r=1740475564986'}, {'img_alt': '特別設計的售票窗口與時刻表裝飾，為園區增添懷舊卻不失趣味的拍照熱點。', 'img_src': 'https://khh.travel/Image/55763/?r=1740475578110'}, {'img_alt': '園區內販售多樣當地農產品與文創商品，提供旅客豐富的旗美地區伴手禮選擇。', 'img_src': 'https://khh.travel/Image/55762/?r=1740475579047'}, {'img_alt': '旗山糖廠冰店販售多款創意冰棒，結合旗山著名的農特產與昔日糖廠元素，是來訪時必嚐的在地滋味。', 'img_src': 'https://khh.travel/Image/55764/?r=1740475588754'}, {'img_alt': '靜靜佇立於園區內的蒸汽小火車，曾是糖廠運輸甘蔗的重要工具，現已成為旅客懷舊打卡的熱門景點。', 'img_src': 'https://khh.travel/Image/55767/?r=1740475592046'}, {'img_alt': '走進旗糖農創園區，迎面而來的是充滿童趣的入口招牌，讓人忍不住停下腳步拍照留念。', 'img_src': 'https://khh.travel/Image/55760/?r=1740475608090'}]","{'phone': '+886-7-6623831', 'address': '高雄市旗山區糖廠里忠孝街33號', 'googleMap': 'https://www.google.com/maps/place/22.88162,120.49168?hl=zh-tw', 'openingHours': '星期日：09:00 – 18:00星期一：09:00 – 18:00星期二：09:00 – 18:00星期三：09:00 – 18:00星期四：09:00 – 18:00星期五：09:00 – 18:00星期六：09:00 – 18:00', 'ticketInformation': None}"
98,勞動女性紀念公園,1973年清晨，一艘由旗津中洲開往高雄的渡輪因為超載加上機械失靈而翻覆沉沒，造成25名任職位於高雄加工出口區的女性不幸罹難。囿於當年習俗，25名未婚罹難者合葬於旗津，稱為「二十五淑女公墓」。由於原公墓僅以少女們雲英未嫁、慘遭滅頂稱之，並未提及職業身分，以及因通勤安全不受重視成為職災受害人的事實，民間也時有不實傳聞，逐漸扭曲其紀念內涵及事實真相。2008年，高雄市政府將位於旗津三路的現址重新整修、美化環境，正式更名為「勞動女性紀念公園」，將這二十五位年輕女性定位為「六○年代為台灣經濟建設奮鬥的工殤少女英雄」，也藉此希望社會大眾重視兩性平權與勞動安全的議題。園中巨型碑石飾以一朵柔美的蓮花紀念25位為家庭及工作犠牲的勞動女性，並有一不鏽鋼管藝術品象徵勞動女性堅毅柔美的特質，國家文化總會並於2006年將這裡標記為台灣女性文化地標之一，以緬懷台灣女工對台灣經濟發展的付出與貢獻。,[],"{'phone': '+886-7-7995678', 'address': '高雄市旗津區旗津三路', 'googleMap': 'https://www.google.com/maps/place/22.59447,120.28084?hl=zh-tw', 'openingHours': '全天候開放', 'ticketInformation': None}"
99,戰爭與和平紀念公園主題館,時代悲劇可以選擇原諒但不能遺忘，台藉士軍的血淚史或許沈重，卻也深刻提醒世人戰爭的可怕與和平的珍貴,"[{'img_alt': '戰爭與和平紀念公園01', 'img_src': 'https://khh.travel/Image/1098/?r=1590508381267'}, {'img_alt': '戰爭與和平紀念公園06', 'img_src': 'https://khh.travel/Image/1103/?r=1590508387606'}]","{'phone': '+886-7-5719973', 'address': '高雄市旗津區旗津二路701號', 'googleMap': 'https://www.google.com/maps/place/22.59118,120.28289?hl=zh-tw', 'openingHours': '公園：全天候開放館區：10:00–18:00(週一及國定假日隔一天公休)', 'ticketInformation': None}"
100,旗津星空隧道,走進絢爛的星空隧道，體驗10種不同的主題光影動畫，來一趟奇幻空間的打卡之旅。,"[{'img_alt': '旗津星空隧道3 (1)', 'img_src': 'https://khh.travel/Image/42866/?r=1673418103141'}, {'img_alt': '旗津星空隧道整修後樣貌3', 'img_src': 'https://khh.travel/Image/40147/?r=1673418171485'}, {'img_alt': '旗津星空隧道整修後樣貌5', 'img_src': 'https://khh.travel/Image/40149/?r=1674115455791'}]","{'phone': '+886-7-2225136', 'address': '高雄市旗津區廟前路1巷', 'googleMap': 'https://www.google.com/maps/place/22.61287,120.26411?hl=zh-tw', 'openingHours': '週一至週日 24小時開放隧道點燈時間為：週一至週日 上午05時～晚間12時', 'ticketInformation': None}"
101,旗津觀光漁港,,"[{'img_alt': '旗津觀光漁港06', 'img_src': 'https://khh.travel/Image/1117/?r=1590509420146'}, {'img_alt': '旗津觀光漁港02', 'img_src': 'https://khh.travel/Image/1113/?r=1590509429183'}]","{'phone': '+886-7-5716764', 'address': '高雄市旗津區北汕巷50-60號', 'googleMap': 'https://www.google.com/maps/place/22.59086,120.2869?hl=zh-tw', 'openingHours': '09:00–17:00(週末公休)', 'ticketInformation': None}"
102,高雄燈塔(旗津旗后燈塔),雄踞旗后山頂，以雪白耀眼之姿守護高雄港，是港都的象徵，二次大戰時曾遭受機槍掃射，但仍無間斷地守護船隻通行，歷史意義非凡。,"[{'img_alt': '高雄燈塔 (1)', 'img_src': 'https://khh.travel/Image/37657/?r=1642750501681'}, {'img_alt': '塔身為八角形', 'img_src': 'https://khh.travel/Image/37664/?r=1642750581604'}, {'img_alt': '高雄燈塔 (4)', 'img_src': 'https://khh.travel/Image/37662/?r=1642750444354'}, {'img_alt': '高雄燈塔 (3)', 'img_src': 'https://khh.travel/Image/37659/?r=1642750481608'}, {'img_alt': '高雄旗后燈塔夜間照片', 'img_src': 'https://khh.travel/Image/40707/?r=1662950462156'}]","{'phone': '+886-7-5715021', 'address': '高雄市旗津區旗下巷34號', 'googleMap': 'https://www.google.com/maps/place/22.61552,120.26471?hl=zh-tw', 'openingHours': '每日開放10：00-21：00', 'ticketInformation': None}"
103,旗後教會,,[],"{'phone': '+886-7-5711571', 'address': '高雄市旗津區廟前路13號', 'googleMap': 'https://www.google.com/maps/place/22.61182,120.26763?hl=zh-tw', 'openingHours': '採預約制', 'ticketInformation': None}"
